pi,piName,iec_range,cohort_id,companyId,companyName,avg_monthly_impressions,p99,p100,total_companies_in_cohort
29,Furniture & Furnishing,1001-5000,1001-5000_29,607,Pepperfry,719.0,13363.5,13363.5,16
31,Internet,1001-5000,1001-5000_31,608,Swiggy,361522.5,318308.5,361522.5,117
31,Internet,201-500,201-500_31,609,Housejoy,1987.0,21623.5,27051.5,138
31,Internet,501-1000,501-1000_31,614,FoodPanda,2953.5,17865.5,17865.5,97
31,Internet,1001-5000,1001-5000_31,616,Box8,223.5,318308.5,361522.5,117
121,EdTech,1001-5000,1001-5000_121,617,Toppr,6489.0,55718.0,55718.0,29
29,Furniture & Furnishing,201-500,201-500_29,621,Furlenco,2735.0,2735.0,2735.0,14
6,Automobile,1001-5000,1001-5000_6,624,Ather Energy,4094.0,36657.0,36657.0,63
31,Internet,1001-5000,1001-5000_31,627,Quikr,493.0,318308.5,361522.5,117
31,Internet,201-500,201-500_31,628,OLX India,27051.5,21623.5,27051.5,138
31,Internet,1001-5000,1001-5000_31,629,RedBus,1343.5,318308.5,361522.5,117
31,Internet,1001-5000,1001-5000_31,630,Goibibo,326.0,318308.5,361522.5,117
31,Internet,501-1000,501-1000_31,632,Tracxn,7898.5,17865.5,17865.5,97
31,Internet,501-1000,501-1000_31,633,BookMyShow,371.5,17865.5,17865.5,97
119,Travel & Tourism,501-1000,501-1000_119,635,Thrillophilia,1585.0,14324.5,14324.5,12
31,Internet,501-1000,501-1000_31,636,LimeRoad,1007.0,17865.5,17865.5,97
31,Internet,5001-10000,5001-10000_31,639,Blinkit,26624.5,74951.0,74951.0,14
155,IT Services & Consulting,201-500,201-500_155,640,Hike,388.0,28670.0,100078.0,607
31,Internet,201-500,201-500_31,643,Droom,3414.5,21623.5,27051.5,138
83,Analytics & KPO,1001-5000,1001-5000_83,645,Tiger Analytics,23493.5,40289.5,40289.5,37
151,Emerging Technologies,201-500,201-500_151,648,Seclore,829.5,9975.0,9975.0,29
155,IT Services & Consulting,1001-5000,1001-5000_155,650,Xoriant,176256.0,89243.5,176256.0,347
31,Internet,1001-5000,1001-5000_31,651,Matrimony.com,3344.5,318308.5,361522.5,117
193,Management Consulting,51-200,51-200_193,653,Sathguru Management Consultants,141.0,8781.0,8781.0,55
5,Architecture & Interior Design,51-200,51-200_5,660,Vedam Design & Technical Consultancy,125.0,6580.5,6580.5,43
155,IT Services & Consulting,1001-5000,1001-5000_155,666,3i Infotech,49549.5,89243.5,176256.0,347
155,IT Services & Consulting,1001-5000,1001-5000_155,669,Unisys,12018.5,89243.5,176256.0,347
155,IT Services & Consulting,5001-10000,5001-10000_155,674,Cybage,10072.5,62223.0,62223.0,29
159,Auto Components,1001-5000,1001-5000_159,675,Tata AutoComp Systems,5835.0,25235.0,32599.5,115
30,Import & Export,100001+,100001+_30,677,Shahi Exports,14332.0,14332.0,14332.0,1
135,Logistics,10001-50000,10001-50000_135,680,Delhi Metro Rail Corporation,575.5,43467.5,43467.5,6
31,Internet,501-1000,501-1000_31,681,99acres,425.0,17865.5,17865.5,97
32,Iron & Steel,10001-50000,10001-50000_32,682,Vizag Steel,1874.0,53621.5,53621.5,10
95,Banking,10001-50000,10001-50000_95,683,UCO Bank,846.5,116249.5,116249.5,29
23,Food Processing,10001-50000,10001-50000_23,684,PepsiCo,52612.0,52612.0,52612.0,8
159,Auto Components,5001-10000,5001-10000_159,686,Exide Industries,12674.0,66430.5,66430.5,16
55,Telecom,201-500,201-500_55,689,Alcatel-Lucent,284.0,24148.0,24148.0,33
44,Power,5001-10000,5001-10000_44,694,Siemens,71096.5,71096.5,71096.5,19
167,Industrial Automation,51-200,51-200_167,695,Power2sme,566.0,5844.0,5844.0,35
155,IT Services & Consulting,1001-5000,1001-5000_155,696,Nutanix,3182.5,89243.5,176256.0,347
99,Insurance,10001-50000,10001-50000_99,697,AIG,379.5,81714.0,81714.0,21
155,IT Services & Consulting,1001-5000,1001-5000_155,699,Xerox,4660.0,89243.5,176256.0,347
155,IT Services & Consulting,1001-5000,1001-5000_155,701,TEKsystems,16121.0,89243.5,176256.0,347
155,IT Services & Consulting,501-1000,501-1000_155,704,Incture Technologies,3734.5,20824.0,40421.0,304
111,Consumer Electronics & Appliances,1001-5000,1001-5000_111,706,Voltas,18661.5,44746.5,44746.5,53
21,Financial Services,1001-5000,1001-5000_21,719,Freecharge,4003.0,35134.5,50693.0,150
55,Telecom,10001-50000,10001-50000_55,2228,Nokia,20448.0,76534.0,76534.0,13
34,Legal,5001-10000,5001-10000_34,2230,Thomson Reuters,47088.5,47088.5,47088.5,1
21,Financial Services,5001-10000,5001-10000_21,2232,Aon,18980.0,62646.0,62646.0,30
21,Financial Services,501-1000,501-1000_21,2234,CapitalVia,769.5,14766.5,14766.5,86
55,Telecom,51-200,51-200_55,2236,Huawei Technologies,100948.5,100948.5,100948.5,44
83,Analytics & KPO,10001-50000,10001-50000_83,2237,WNS,184590.0,184590.0,184590.0,12
155,IT Services & Consulting,51-200,51-200_155,2238,HCL Infosystems,146206.0,24634.5,159944.5,920
95,Banking,100001+,100001+_95,2241,State Bank of India,27056.0,382442.5,382442.5,5
55,Telecom,10001-50000,10001-50000_55,2244,Bharti Airtel,65250.0,76534.0,76534.0,13
157,Software Product,5001-10000,5001-10000_157,2245,KPIT Technologies,38780.5,55090.5,55090.5,7
155,IT Services & Consulting,10001-50000,10001-50000_155,2247,GlobalLogic,40828.0,201996.5,201996.5,42
155,IT Services & Consulting,10001-50000,10001-50000_155,2249,eClerx,26530.5,201996.5,201996.5,42
155,IT Services & Consulting,10001-50000,10001-50000_155,2250, UST,103943.5,201996.5,201996.5,42
145,BPO,10001-50000,10001-50000_145,2251,Sutherland Global Services,66930.5,332781.5,332781.5,14
46,Real Estate,1001-5000,1001-5000_46,2256,Altisource,2708.0,70457.5,70457.5,50
155,IT Services & Consulting,10001-50000,10001-50000_155,2257,Synechron,12890.5,201996.5,201996.5,42
89,Hardware & Networking,1001-5000,1001-5000_89,2258,Juniper Networks,7552.0,38120.5,38120.5,19
155,IT Services & Consulting,10001-50000,10001-50000_155,2263,Birlasoft,7485.0,201996.5,201996.5,42
21,Financial Services,5001-10000,5001-10000_21,2264,Fiserv,44753.0,62646.0,62646.0,30
155,IT Services & Consulting,10001-50000,10001-50000_155,2267,Hexaware Technologies,48906.5,201996.5,201996.5,42
55,Telecom,5001-10000,5001-10000_55,2269,Tata Communications,23547.5,60449.0,60449.0,8
155,IT Services & Consulting,501-1000,501-1000_155,2277,Mindfire Solutions,998.0,20824.0,40421.0,304
87,Education & Training,501-1000,501-1000_87,2281,NIIT,22812.5,22812.5,22812.5,92
147,Semiconductors,1001-5000,1001-5000_147,2283,STMicroelectronics,2504.5,28753.0,28753.0,24
155,IT Services & Consulting,1001-5000,1001-5000_155,2284,BMC Software,4039.5,89243.5,176256.0,347
155,IT Services & Consulting,5001-10000,5001-10000_155,2286,ValueLabs,8267.0,62223.0,62223.0,29
111,Consumer Electronics & Appliances,51-200,51-200_111,2290,Patni Computer Systems,300.5,1859.5,1859.5,16
187,Government,100001+,100001+_187,2291,Government of India,10434.5,10434.5,10434.5,11
31,Internet,5001-10000,5001-10000_31,2300,Info Edge,64544.0,74951.0,74951.0,14
157,Software Product,10001-50000,10001-50000_157,2303,Zoho,32470.0,177331.5,177331.5,5
99,Insurance,50001-100000,50001-100000_99,2305,Life Insurance Corporation of India,5228.5,5228.5,5228.5,1
155,IT Services & Consulting,1001-5000,1001-5000_155,2307,Nucleus Software Exports,1770.5,89243.5,176256.0,347
155,IT Services & Consulting,1001-5000,1001-5000_155,2308,MAQ Software,822.0,89243.5,176256.0,347
95,Banking,10001-50000,10001-50000_95,2315,Standard Chartered,38531.5,116249.5,116249.5,29
155,IT Services & Consulting,1001-5000,1001-5000_155,2317,Cvent,5779.5,89243.5,176256.0,347
155,IT Services & Consulting,1001-5000,1001-5000_155,2318,People Tech Group,1106.0,89243.5,176256.0,347
155,IT Services & Consulting,1001-5000,1001-5000_155,2322,Ramco Systems,4183.5,89243.5,176256.0,347
99,Insurance,10001-50000,10001-50000_99,2323,ICICI Lombard General Insurance Company,16652.5,81714.0,81714.0,21
145,BPO,10001-50000,10001-50000_145,2326,HGS,18676.5,332781.5,332781.5,14
179,Media & Entertainment,1001-5000,1001-5000_179,2327,The Times of India,5083.0,61772.0,61772.0,19
155,IT Services & Consulting,501-1000,501-1000_155,2328,smartData Enterprises,10773.5,20824.0,40421.0,304
121,EdTech,1001-5000,1001-5000_121,2329,Jaro Education,3479.0,55718.0,55718.0,29
95,Banking,10001-50000,10001-50000_95,2331,Barclays,32649.0,116249.5,116249.5,29
83,Analytics & KPO,5001-10000,5001-10000_83,2333,IGT Solutions,12121.5,37740.5,37740.5,10
95,Banking,50001-100000,50001-100000_95,2338,Bank of Baroda,7648.0,177931.5,177931.5,6
155,IT Services & Consulting,1001-5000,1001-5000_155,2342,IBM Research,211.0,89243.5,176256.0,347
129,Healthcare,1001-5000,1001-5000_129,2345,Johnson & Johnson,25991.0,25991.0,27169.5,106
24,Gaming,1001-5000,1001-5000_24,2348,Electronic Arts,2803.0,5453.0,5453.0,7
155,IT Services & Consulting,201-500,201-500_155,2351,Vinculum Solutions,1048.0,28670.0,100078.0,607
155,IT Services & Consulting,1001-5000,1001-5000_155,2352,Indecomm Global Services,371.5,89243.5,176256.0,347
155,IT Services & Consulting,1001-5000,1001-5000_155,2354,Ciber,169.0,89243.5,176256.0,347
155,IT Services & Consulting,51-200,51-200_155,2355,Xicom Technologies,310.0,24634.5,159944.5,920
111,Consumer Electronics & Appliances,5001-10000,5001-10000_111,2363,HARMAN,13541.0,39687.5,39687.5,7
101,Investment Banking / Venture Capital / Private Equity,1001-5000,1001-5000_101,2364,Nomura Holdings,9761.0,9761.0,9761.0,6
155,IT Services & Consulting,1001-5000,1001-5000_155,2366,Tally Solutions,1558.5,89243.5,176256.0,347
21,Financial Services,501-1000,501-1000_21,2367,State Street Syntel,14766.5,14766.5,14766.5,86
139,Ports & Shipping,10001-50000,10001-50000_139,2372,Anglo-Eastern Ship Management,1622.0,1622.0,1622.0,1
22,FMCG,1001-5000,1001-5000_22,2373,Marico,8304.5,21805.0,21805.0,68
21,Financial Services,5001-10000,5001-10000_21,2374,Bajaj Capital,4688.5,62646.0,62646.0,30
155,IT Services & Consulting,201-500,201-500_155,2376,Paramatrix Technologies,774.5,28670.0,100078.0,607
31,Internet,1001-5000,1001-5000_31,2377,ExportersIndia,329.5,318308.5,361522.5,117
31,Internet,201-500,201-500_31,2378,Fastenal,822.5,21623.5,27051.5,138
55,Telecom,10001-50000,10001-50000_55,2380,BT Business,4991.0,76534.0,76534.0,13
161,Chemicals,201-500,201-500_161,2381,Linde India,9138.5,9138.5,9138.5,42
159,Auto Components,1001-5000,1001-5000_159,2384,Lear Corporation,1526.5,25235.0,32599.5,115
155,IT Services & Consulting,1001-5000,1001-5000_155,2385,CSG International,1359.5,89243.5,176256.0,347
52,Law Enforcement & Security,501-1000,501-1000_52,2388,SonicWALL,200.0,2745.5,2745.5,10
155,IT Services & Consulting,51-200,51-200_155,2392,Apex CoVantage,9309.0,24634.5,159944.5,920
87,Education & Training,1001-5000,1001-5000_87,2393,Manipal University,2819.5,47351.5,47351.5,79
155,IT Services & Consulting,501-1000,501-1000_155,2400,Cavisson Systems,547.5,20824.0,40421.0,304
99,Insurance,5001-10000,5001-10000_99,2403,Tata AIG,7795.0,27990.5,27990.5,13
87,Education & Training,1001-5000,1001-5000_87,2405,MKCL,176.5,47351.5,47351.5,79
155,IT Services & Consulting,201-500,201-500_155,2407,ExcelaCom Technologies,259.0,28670.0,100078.0,607
36,Industrial Machinery,1001-5000,1001-5000_36,2410,ELGI Equipments,933.5,74019.0,108376.5,112
145,BPO,1001-5000,1001-5000_145,2414,inTarvo Technologies,103.0,34475.5,34475.5,61
27,Animation & VFX,201-500,201-500_27,2416,Xentrix Studios,512.0,512.0,512.0,6
181,Printing & Publishing,1001-5000,1001-5000_181,2420,SiliconIndia,906.5,10242.5,10242.5,24
155,IT Services & Consulting,501-1000,501-1000_155,2421,Mistral Solutions,433.5,20824.0,40421.0,304
155,IT Services & Consulting,501-1000,501-1000_155,2435,"CAMP Systems International, Inc.",220.5,20824.0,40421.0,304
107,Beauty & Personal Care,1001-5000,1001-5000_107,2436,Oriflame India,971.0,9604.5,9604.5,12
155,IT Services & Consulting,1001-5000,1001-5000_155,2437,Innodata India Private Limited,16815.5,89243.5,176256.0,347
95,Banking,10001-50000,10001-50000_95,2442,Bank of Maharashtra,876.0,116249.5,116249.5,29
87,Education & Training,1001-5000,1001-5000_87,2447,FIITJEE,18771.5,47351.5,47351.5,79
